HG00599	28
HG00607	31
HG00608	37
HG00609	28
HG00610	28
HG00611	28
HG00612	27
HG00613	27
HG00614	26
HG00615	28
HG00619	33
HG00620	29
HG00621	27
HG00622	25
HG00623	29
HG00625	29
HG00626	27
HG00627	26
HG00628	29
HG00629	37
HG00630	29
HG00631	26
HG00632	26
HG00634	28
HG00635	28
HG00636	29
HG00637	28
HG00638	30
HG00639	24
HG00640	26
HG00641	26
HG00642	29
HG00650	32
HG00651	28
HG00652	27
HG00653	23
HG00654	26
HG00655	28
HG00656	28
HG00657	25
HG00658	28
HG00662	3
HG00663	27
HG00664	29
HG00671	28
HG00672	24
HG00673	26
HG00674	28
HG00675	26
HG00683	26
HG00684	25
HG00685	28
HG00689	40
HG00690	25
HG00691	28
HG00692	28
HG00693	28
HG00694	28
HG00698	32
HG00699	30
HG00700	28
HG00701	32
HG00702	27
HG00703	28
HG00704	25
HG00705	25
HG00706	27
HG00707	27
HG00708	27
HG00709	28
HG00717	26
HG00728	27
HG00729	31
HG00731	26
HG00732	26
HG00733	27
HG00734	28
HG00735	25
HG00736	26
HG00737	28
HG00738	28
HG00739	27
HG00740	27
HG00741	28
HG00742	30
HG00743	24
HG00759	27
HG00766	27
HG00844	26
HG00851	30
HG00864	28
HG00867	28
HG00879	25
HG00881	29
HG00956	27
HG00978	30
HG00982	33
HG01028	22
HG01029	36
HG01031	28
HG01046	28
HG01047	28
HG01048	36
HG01049	33
HG01050	24
HG01051	25
HG01052	28
HG01053	28
HG01054	25
HG01055	27
HG01056	29
HG01058	29
HG01060	29
HG01061	27
HG01062	27
HG01063	28
HG01064	28
HG01066	29
HG01067	27
HG01068	27
HG01069	22
HG01070	26
HG01071	28
HG01072	24
HG01073	29
HG01074	28
HG01075	29
HG01077	27
HG01079	27
HG01080	28
HG01081	27
HG01082	29
HG01083	32
HG01084	28
HG01085	26
HG01086	28
HG01087	25
HG01088	29
HG01089	37
HG01092	25
HG01094	27
HG01095	26
HG01096	28
HG01097	27
HG01098	27
HG01099	31
HG01100	27
HG01101	29
HG01102	30
HG01103	27
HG01104	26
HG01105	34
HG01106	28
HG01107	30
HG01108	27
HG01109	29
HG01110	30
HG01111	24
HG01112	28
HG01113	27
HG01114	27
HG01119	27
HG01121	27
HG01122	35
HG01124	28
HG01125	27
HG01126	28
HG01130	27
HG01131	28
HG01133	28
HG01134	31
HG01135	29
HG01136	29
HG01137	28
