sample_name,cluster
NA18488,Africa.2
NA18489,Africa.2
NA18497,Africa.2
NA18498,Africa.2
NA18499,Africa.2
NA18500,Africa.2
NA18501,Africa.2
NA18502,Africa.2
NA18503,Africa.2
NA18504,Africa.2
NA18505,Africa.2
NA18506,Africa.2
NA18507,Africa.2
NA18508,Africa.2
NA18510,Africa.2
NA18511,Africa.2
NA18515,Africa.2
NA18516,Africa.2
NA18517,Africa.2
NA18518,Africa.2
NA18519,Africa.2
NA18520,Africa.2
NA18521,Africa.2
NA18522,Africa.2
NA18523,Africa.2
NA18852,Africa.2
NA18853,Africa.2
NA18854,Africa.2
NA18855,Africa.2
NA18856,Africa.2
NA18857,Africa.2
NA18858,Africa.2
NA18859,Africa.2
NA18860,Africa.2
NA18861,Africa.2
NA18862,Africa.2
NA18863,Africa.2
NA18864,Africa.2
NA18865,Africa.2
NA18867,Africa.2
NA18868,Africa.2
NA18869,Africa.2
NA18870,Africa.2
NA18871,Africa.2
NA18872,Africa.2
NA18873,Africa.2
NA18874,Africa.2
NA18875,Africa.2
NA18876,Africa.2
NA18877,Africa.2
NA18878,Africa.2
NA18879,Africa.2
NA18881,Africa.2
NA18906,Africa.2
NA18907,Africa.2
NA18908,Africa.2
NA18909,Africa.2
NA18910,Africa.2
NA18911,Africa.2
NA18912,Africa.2
NA18913,Africa.2
NA18914,Africa.2
NA18915,Africa.2
NA18916,Africa.2
NA18917,Africa.2
NA18923,Africa.2
NA18924,Africa.2
NA18925,Africa.2
NA18930,Africa.2
NA18933,Africa.2
NA18934,Africa.2
NA18935,Africa.2
NA19092,Africa.2
NA19093,Africa.2
NA19094,Africa.2
NA19095,Africa.2
NA19096,Africa.2
NA19097,Africa.2
NA19098,Africa.2
NA19099,Africa.2
NA19100,Africa.2
NA19101,Africa.2
NA19102,Africa.2
NA19103,Africa.2
NA19107,Africa.2
NA19108,Africa.2
NA19109,Africa.2
NA19113,Africa.2
NA19114,Africa.2
NA19115,Africa.2
NA19116,Africa.2
NA19117,Africa.2
NA19118,Africa.2
NA19119,Africa.2
NA19120,Africa.2
NA19121,Africa.2
NA19122,Africa.2
NA19123,Africa.2
NA19127,Africa.2
NA19128,Africa.2
NA19129,Africa.2
NA19130,Africa.2
NA19131,Africa.2
NA19132,Africa.2
NA19137,Africa.2
NA19138,Africa.2
NA19139,Africa.2
NA19140,Africa.2
NA19141,Africa.2
NA19142,Africa.2
NA19143,Africa.2
NA19144,Africa.2
NA19145,Africa.2
NA19146,Africa.2
NA19147,Africa.2
NA19148,Africa.2
NA19149,Africa.2
NA19150,Africa.2
NA19151,Africa.2
NA19152,Africa.2
NA19153,Africa.2
NA19154,Africa.2
NA19159,Africa.2
NA19160,Africa.2
NA19161,Africa.2
NA19171,Africa.2
NA19172,Africa.2
NA19173,Africa.2
NA19174,Africa.2
NA19175,Africa.2
NA19176,Africa.2
NA19177,Africa.2
NA19184,Africa.2
NA19185,Africa.2
NA19186,Africa.2
NA19189,Africa.2
NA19190,Africa.2
NA19191,Africa.2
NA19197,Africa.2
NA19198,Africa.2
NA19199,Africa.2
NA19200,Africa.2
NA19201,Africa.2
NA19202,Africa.2
NA19203,Africa.2
NA19204,Africa.2
NA19205,Africa.2
NA19206,Africa.2
NA19207,Africa.2
NA19208,Africa.2
NA19209,Africa.2
NA19210,Africa.2
NA19211,Africa.2
NA19213,Africa.2
NA19214,Africa.2
NA19215,Africa.2
NA19221,Africa.2
NA19222,Africa.2
NA19223,Africa.2
NA19224,Africa.2
NA19225,Africa.2
NA19226,Africa.2
NA19235,Africa.2
NA19236,Africa.2
NA19237,Africa.2
NA19238,Africa.2
NA19239,Africa.2
NA19240,Africa.2
NA19247,Africa.2
NA19248,Africa.2
NA19249,Africa.2
NA19256,Africa.2
NA19257,Africa.2
NA19258,Africa.2
HG01879,Africa.3
HG01880,Africa.3
HG01881,Africa.3
HG01882,Africa.3
HG01883,Africa.3
HG01884,Africa.3
HG01885,Africa.3
HG01886,Africa.3
HG01887,Africa.3
HG01888,Africa.3
HG01889,Africa.3
HG01890,Africa.3
HG01891,Africa.3
HG01894,Africa.3
HG01895,Africa.3
