Sample name,Biosample ID,Universal_ID,Population elastic IDs,Population name,Population description,Superpopulation name,Population latitude,Population longitude,Color
HG00345,SAME124919,FIN,FIN;FinnishSGDP,Finnish,Finnish in Finland,West Eurasia,60.17,24.93,#0000FF
HG00524,SAME123724,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00357,SAME125124,FIN,FIN;FinnishSGDP,Finnish,Finnish in Finland,West Eurasia,60.17,24.93,#0000FF
HG00531,SAME125381,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00364,SAME124543,FIN,FIN;FinnishSGDP,Finnish,Finnish in Finland,West Eurasia,60.17,24.93,#0000FF
HG00536,SAME124344,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00369,SAME124534,FIN,FIN;FinnishSGDP,Finnish,Finnish in Finland,West Eurasia,60.17,24.93,#0000FF
HG00543,SAME122857,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00371,SAME124747,FIN,FIN;FinnishSGDP,Finnish,Finnish in Finland,West Eurasia,60.17,24.93,#0000FF
HG00555,SAME122856,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG00376,SAME124751,FIN,FIN;FinnishSGDP,Finnish,Finnish in Finland,West Eurasia,60.17,24.93,#0000FF
HG00567,SAME124453,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00097,SAME123267,GBR,GBR;EnglishSGDP,British,British in England and Scotland,West Eurasia,52.486243,-1.890401,#0000FF
HG00579,SAME123530,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00100,SAME125154,GBR,GBR;EnglishSGDP,British,British in England and Scotland,West Eurasia,52.486243,-1.890401,#0000FF
HG00581,SAME124831,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00105,SAME123949,GBR,GBR;EnglishSGDP,British,British in England and Scotland,West Eurasia,52.486243,-1.890401,#0000FF
HG00733,SAME125399,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG00112,SAME125341,GBR,GBR;EnglishSGDP,British,British in England and Scotland,West Eurasia,52.486243,-1.890401,#0000FF
HG00738,SAME125368,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG00117,SAME125346,GBR,GBR;EnglishSGDP,British,British in England and Scotland,West Eurasia,52.486243,-1.890401,#0000FF
HG00740,SAME124834,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG00978,SAME124727,CDX,CDX,Dai Chinese,"Chinese Dai in Xishuangbanna, China",East Asia,22.0,100.78,#008000
HG00129,SAME122867,GBR,GBR;EnglishSGDP,British,British in England and Scotland,West Eurasia,52.486243,-1.890401,#0000FF
HG01142,SAME1839731,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
HG00131,SAME123064,GBR,GBR;EnglishSGDP,British,British in England and Scotland,West Eurasia,52.486243,-1.890401,#0000FF
HG01161,SAME1839615,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG01173,SAME124624,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG01178,SAME124616,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG01192,SAME124298,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG01197,SAME124237,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG01200,SAME1840109,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG00477,SAME123340,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG01205,SAME124296,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG00530,SAME124356,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG01243,SAME125063,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG00535,SAME124348,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG01248,SAME125058,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG00542,SAME124352,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
